id,target
0,True
2,True
3,True
9,False
11,True
12,True
21,False
22,False
27,False
29,False
30,False
35,False
42,False
43,False
45,False
46,False
47,False
51,True
58,False
60,False
69,False
70,False
72,False
75,True
84,False
87,True
88,False
90,True
94,False
99,True
101,False
103,True
106,True
108,False
111,True
115,False
116,False
122,False
123,False
124,True
125,False
127,False
140,True
142,True
147,False
148,False
150,False
152,False
154,False
155,False
166,False
167,False
169,True
177,False
179,False
181,False
186,False
188,False
189,False
192,False
200,True
202,False
206,True
207,True
214,True
217,True
223,False
224,True
227,True
228,True
230,False
233,True
234,True
236,True
239,True
250,True
255,False
257,False
259,True
275,True
278,False
282,False
284,False
286,True
288,True
292,True
295,False
300,False
304,True
305,True
306,True
308,False
311,False
317,False
319,False
323,False
324,False
325,True
326,False
333,False
339,False
342,False
343,False
350,False
351,True
357,True
359,False
362,False
366,False
367,False
369,False
373,False
374,True
376,False
377,False
378,False
379,True
382,False
385,False
387,False
388,False
391,False
392,False
395,False
399,False
400,False
403,False
405,False
408,False
411,False
414,False
416,False
417,False
422,False
425,False
428,False
430,False
431,False
433,False
434,False
439,False
441,False
449,False
458,False
460,False
464,False
473,True
488,False
491,False
494,True
497,False
500,False
505,False
507,False
508,False
510,False
511,False
515,True
525,False
529,False
532,False
534,False
537,False
539,True
541,False
545,False
547,True
548,True
549,True
553,True
554,False
555,True
557,False
562,False
566,True
572,False
573,False
582,True
586,True
587,False
590,True
591,False
593,False
595,False
596,True
597,False
601,False
602,False
605,True
610,True
616,False
618,False
620,True
626,False
627,False
629,False
632,True
634,False
639,False
645,True
647,True
648,False
650,False
663,False
666,True
668,False
670,False
673,True
676,True
678,False
692,False
693,True
694,False
695,False
696,True
698,False
701,False
703,True
707,True
708,True
711,True
715,True
718,False
722,False
723,False
733,True
741,False
742,True
743,True
747,False
749,False
750,False
756,False
757,False
760,False
764,False
765,False
766,False
768,False
769,False
771,False
772,False
776,False
778,False
780,True
785,False
789,False
792,False
793,False
811,True
813,False
816,False
821,False
824,False
825,False
827,False
830,True
831,True
839,True
844,False
847,True
850,False
854,True
855,True
858,False
861,True
862,False
865,True
869,True
879,True
880,True
887,False
889,True
897,True
900,False
901,True
904,True
908,False
909,False
910,True
913,True
914,False
917,True
918,True
920,True
922,True
924,True
925,False
927,False
933,False
937,False
943,False
949,False
950,True
954,False
966,False
967,False
969,False
970,True
973,False
975,False
980,False
988,False
989,False
995,False
1000,False
1003,False
1007,False
1011,False
1012,False
1013,False
1014,False
1016,True
1019,False
1025,False
1027,False
1028,True
1030,False
1033,True
1034,True
1039,False
1046,False
1047,False
1053,False
1055,False
1056,False
1059,False
1060,False
1063,False
1064,False
1068,False
1076,False
1086,False
1087,False
1089,False
1092,False
1095,False
1096,False
1097,False
1100,False
1101,False
1107,False
1108,False
1111,False
1115,False
1116,False
1121,False
1125,False
1127,False
1131,False
1133,False
1135,False
1137,False
1140,False
1144,False
1147,False
1148,False
1150,False
1158,False
1159,False
1161,False
1163,False
1165,False
1169,False
1171,False
1172,False
1176,False
1180,False
1184,False
1186,False
1187,False
1192,False
1193,False
1194,False
1197,True
